1000,2
2000,10
3000,20
4000,34
5000,53
6000,79
7000,102
8000,138
9000,193
10000,224
11000,254
12000,310
13000,353
14000,404
15000,475
16000,528
17000,597
18000,683
19000,752
20000,836
